,paymentId,amount,sourceType
0,4356368,33.66,DISCOUNT
1,4356368,1649.34,PAYU
2,4526428,6.1,DISCOUNT
3,4526428,298.9,PAYU
4,4723038,50.0,DISCOUNT
5,4723038,4450.0,PAYU
6,4995262,4000.0,PAYU
7,5144940,50.0,DISCOUNT
8,5144940,7450.0,PAYU
9,5145946,50.0,DISCOUNT
10,5145946,49950.0,PAYU
11,5149318,3500.0,PAYU
12,5153424,27.0,DISCOUNT
13,5153424,1323.0,PAYU
14,5156078,2.4,DISCOUNT
15,5156078,117.6,PAYU
16,5161674,19.98,DISCOUNT
17,5161674,979.02,PAYU
18,5175644,4.9,DISCOUNT
19,5175644,44.1,PAYU
20,5175650,4.9,DISCOUNT
21,5175650,44.1,PAYU
22,5175660,6260.0,PAYU
23,5175666,4.9,DISCOUNT
24,5175666,44.1,PAYU
25,5175672,4.9,DISCOUNT
26,5175672,44.1,PAYU
27,5175722,4.9,DISCOUNT
28,5175722,44.1,PAYU
29,5175766,4.9,DISCOUNT
30,5175766,44.1,PAYU
31,5175790,4.0,DISCOUNT
32,5175790,196.0,PAYU
33,5175800,4.9,DISCOUNT
34,5175800,44.1,PAYU
35,5175806,2.34,DISCOUNT
36,5175806,36.66,PAYU
37,5175866,3.4,DISCOUNT
38,5175866,30.6,PAYU
39,5175876,4.9,DISCOUNT
40,5175876,44.1,PAYU
41,5175892,4.9,DISCOUNT
42,5175892,44.1,PAYU
43,5175894,50.0,DISCOUNT
44,5175894,550.0,PAYU
45,5175938,4.9,DISCOUNT
46,5175938,44.1,PAYU
47,5175960,9.0,DISCOUNT
48,5175960,441.0,PAYU
49,5175980,10.1,DISCOUNT
50,5175980,90.9,PAYU
51,5175984,4.9,DISCOUNT
52,5175984,44.1,PAYU
53,5175988,13.38,DISCOUNT
54,5175988,655.62,PAYU
55,5175998,50.0,DISCOUNT
56,5175998,1195.0,PAYU
57,5176016,9.22,DISCOUNT
58,5176016,451.78,PAYU
59,5176020,2228.76,PAYU
60,5176074,2.9,DISCOUNT
61,5176074,26.1,PAYU
62,5176076,4.9,DISCOUNT
63,5176076,44.1,PAYU
64,5176094,11.88,DISCOUNT
65,5176094,186.12,PAYU
66,5176104,50.0,DISCOUNT
67,5176104,940.0,PAYU
68,5176110,4.9,DISCOUNT
69,5176110,44.1,PAYU
70,5176116,50.0,DISCOUNT
71,5176116,1225.0,PAYU
72,5176124,7.92,DISCOUNT
73,5176124,388.08,PAYU
74,5176146,4.9,DISCOUNT
75,5176146,44.1,PAYU
76,5176174,756.32,PAYU
77,5176188,45.0,DISCOUNT
78,5176188,405.0,PAYU
79,5176208,4.9,DISCOUNT
80,5176208,44.1,PAYU
81,5176218,4.9,DISCOUNT
82,5176218,44.1,PAYU
83,5176228,208.0,PAYU
84,5176262,4.9,DISCOUNT
85,5176262,44.1,PAYU
86,5176290,4.9,DISCOUNT
87,5176290,44.1,PAYU
88,5176306,4.9,DISCOUNT
89,5176306,44.1,PAYU
90,5176320,4.9,DISCOUNT
91,5176320,44.1,PAYU
92,5176384,4.9,DISCOUNT
93,5176384,44.1,PAYU
94,5176392,29.1,DISCOUNT
