,addedOn,userId,amount,merchantId,vaultAction,vaultType
0,11/26/2014 16:08,23116005882345,20,1031nan2331,rewardcashback,1
1,12/31/2014 22:06,23116005882345,20,10314761837,usecashback,1
2,11/26/2014 18:22,23116005902345,20,1031nan2331,rewardcashback,1
3,11/26/2014 18:22,23116005922345,20,1031nan2331,rewardcashback,1
4,11/26/2014 18:22,23116005942345,20,1031nan2331,rewardcashback,1
5,11/26/2014 18:22,23116005962345,20,1031nan2331,rewardcashback,1
6,11/26/2014 18:22,23116006022345,20,1031nan2331,rewardcashback,1
7,11/26/2014 18:22,23116006062345,20,1031nan2331,rewardcashback,1
8,11/26/2014 18:22,23116006122345,20,1031nan2331,rewardcashback,1
9,11/26/2014 18:22,23116006262345,20,1031nan2331,rewardcashback,1
10,11/26/2014 18:22,23116006302345,20,1031nan2331,rewardcashback,1
11,11/26/2014 18:22,23116006322345,20,1031nan2331,rewardcashback,1
12,11/26/2014 18:22,23116006362345,20,1031nan2331,rewardcashback,1
13,11/26/2014 18:22,23116006462345,20,1031nan2331,rewardcashback,1
14,11/26/2014 16:26,23116006482345,20,1031nan2331,rewardcashback,1
15,11/26/2014 18:22,23116006582345,20,1031nan2331,rewardcashback,1
16,11/26/2014 18:22,23116006662345,20,1031nan2331,rewardcashback,1
17,11/26/2014 18:22,23116006702345,20,1031nan2331,rewardcashback,1
18,11/26/2014 18:22,23116006722345,20,1031nan2331,rewardcashback,1
19,2/3/2015 19:29,23116006762345,50,1031nan2331,rewardcashback,1
20,11/26/2014 18:22,23116006842345,20,1031nan2331,rewardcashback,1
21,11/26/2014 16:54,23116006882345,20,1031nan2331,rewardcashback,1
22,11/28/2014 16:48,23116006882345,19.2,10314761837,usecashback,1
23,12/28/2014 23:40,23116006882345,0.8,10314976038,usecashback,1
24,11/26/2014 18:22,23116006962345,20,1031nan2331,rewardcashback,1
25,11/26/2014 18:22,23116007002345,20,1031nan2331,rewardcashback,1
26,11/26/2014 18:22,23116007082345,20,1031nan2331,rewardcashback,1
27,11/26/2014 18:22,23116007102345,20,1031nan2331,rewardcashback,1
28,8/13/2014 19:05,23116007142345,50,1031nan2331,rewardcashback,1
29,8/13/2014 19:22,23116007142345,50,1031nan2331,rewardcashback,1
30,8/15/2014 22:39,23116007142345,50,1031nan2331,rewardcashback,1
31,8/17/2014 22:16,23116007142345,50,1031nan2331,rewardcashback,1
32,8/17/2014 22:55,23116007142345,50,1031nan2331,rewardcashback,1
33,8/24/2014 0:06,23116007142345,50,1031nan2331,rewardcashback,1
34,8/24/2014 18:44,23116007142345,50,1031nan2331,rewardcashback,1
35,8/24/2014 22:46,23116007142345,50,1031nan2331,rewardcashback,1
36,8/25/2014 1:56,23116007142345,48.45,10314761837,usecashback,1
37,8/26/2014 22:47,23116007142345,55.1,10314761811,usecashback,1
38,8/28/2014 14:57,23116007142345,296.45,10314761829,usecashback,1
39,8/28/2014 16:07,23116007142345,296.45,10314761829,usecashback,1
